alpha, r1, r2, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
0.1, 99, 112, 1.0, 120, 0, 94, 26, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 89, 31, 0.935483870968, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 82, 38, 0.947368421053, 0, 0.0
0.1, 99, 112, 0.95, 120, 6, 89, 31, 0.806451612903, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 100, 20, 0.9, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 109, 11, 0.909090909091, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 109, 11, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 102, 18, 0.888888888889, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 98, 22, 0.909090909091, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 109, 11, 0.909090909091, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 76, 44, 0.954545454545, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 82, 38, 0.947368421053, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 84, 36, 0.944444444444, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 109, 11, 0.909090909091, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 111, 9, 0.888888888889, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 106, 14, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 104, 16, 0.8125, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 92, 28, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 97, 23, 0.95652173913, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 86, 34, 0.941176470588, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 78, 42, 0.97619047619, 0, 0.0
